candidate_id,Nom du modèle,Poids réellement disponibles,Nombre de canaux du pré-entraînement,Canaux fixes ou variables,Noms/positions des électrodes utilisés,Fréquence de pré-entraînement,Durée des fenêtres,Prétraitement,Dataset de pré-entraînement,Peut recevoir mes 32 canaux ASC,Justification,Score de compatibilité,Confiance des métadonnées,URL,Licence,Chemin du checkpoint
113,oraculumai/CBraMod-MI-CoreML,oui,à vérifier,inconnu,à vérifier,200.0,à vérifier,| Preprocessing | average reference over the 14 channels → global z-score of the window → resample to 200 Hz (polyphase) → zero-pad to 1000 samples | | then resampled to 200 Hz and zero-padded to 1000 samples:,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",40.0,faible,https://huggingface.co/oraculumai/CBraMod-MI-CoreML,bsd-3-clause,.
114,oraculumai/CBraMod-MI-CoreML/CBraModMI.mlpackage/Data/com.apple.CoreML/weights,oui,à vérifier,inconnu,à vérifier,200.0,à vérifier,| Preprocessing | average reference over the 14 channels → global z-score of the window → resample to 200 Hz (polyphase) → zero-pad to 1000 samples | | then resampled to 200 Hz and zero-padded to 1000 samples:,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",40.0,faible,https://huggingface.co/oraculumai/CBraMod-MI-CoreML,bsd-3-clause,CBraModMI.mlpackage/Data/com.apple.CoreML/weights
17,guido151/EEGNetv4/EEGNetv4_Lee2019_ERP,oui,19,fixes,à vérifier,à vérifier,à vérifier,<li>8 spatial filters with 2 temporal filters per spatial filter</li>,à vérifier,à adapter,"Le checkpoint attend 19 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",36.75,faible,https://huggingface.co/guido151/EEGNetv4,,EEGNetv4_Lee2019_ERP
18,guido151/EEGNetv4/EEGNetv4_metric-key-subject_Lee2019_ERP,oui,19,fixes,à vérifier,à vérifier,à vérifier,<li>8 spatial filters with 2 temporal filters per spatial filter</li>,à vérifier,à adapter,"Le checkpoint attend 19 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",36.75,faible,https://huggingface.co/guido151/EEGNetv4,,EEGNetv4_metric-key-subject_Lee2019_ERP
112,oraculumai/CBraMod-CoreML-Apple/CBraModEmbedder.mlpackage/Data/com.apple.CoreML/weights,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,"4. Resample to 200 Hz (polyphase), crop/zero-pad to exactly 1000 samples.",à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",32.0,faible,https://huggingface.co/oraculumai/CBraMod-CoreML-Apple,bsd-3-clause,CBraModEmbedder.mlpackage/Data/com.apple.CoreML/weights
29,ardor924/EEGNetV4-10channel-baseline13.7-classfication-TS-R-TEST,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-10channel-baseline13.7-classfication-TS-R-TEST,,.
30,ardor924/EEGNetV4-10channel-baseline13.7-classfication-TS-R-TEST40,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-10channel-baseline13.7-classfication-TS-R-TEST40,,.
31,ardor924/EEGNetV4-10channel-baseline15-classfication-TS-R-SAMPLE,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-10channel-baseline15-classfication-TS-R-SAMPLE,,.
21,ardor924/EEGNetV4-12channel-baseline11-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-12channel-baseline11-classfication,,.
22,ardor924/EEGNetV4-12channel-baseline13-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-12channel-baseline13-classfication,,.
25,ardor924/EEGNetV4-12channel-baseline13.5-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-12channel-baseline13.5-classfication,,.
26,ardor924/EEGNetV4-12channel-baseline13.6-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-12channel-baseline13.6-classfication,,.
27,ardor924/EEGNetV4-12channel-baseline13.6-classfication-ts-all,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-12channel-baseline13.6-classfication-ts-all,,.
28,ardor924/EEGNetV4-12channel-baseline13.7-classfication-TS-R-TEST,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-12channel-baseline13.7-classfication-TS-R-TEST,,.
23,ardor924/EEGNetV4-4channel-baseline13-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-4channel-baseline13-classfication,,.
24,ardor924/EEGNetV4-8channel-baseline13-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-8channel-baseline13-classfication,,.
20,ardor924/EEGNetV4-baseline-classfication,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",27.0,moyenne,https://huggingface.co/ardor924/EEGNetV4-baseline-classfication,,.
4,PierreGtch/EEGNetv4/EEGNetv4_AlexMI,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_AlexMI
5,PierreGtch/EEGNetv4/EEGNetv4_BNCI2014001,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_BNCI2014001
6,PierreGtch/EEGNetv4/EEGNetv4_BNCI2014004,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_BNCI2014004
7,PierreGtch/EEGNetv4/EEGNetv4_BNCI2015001,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_BNCI2015001
8,PierreGtch/EEGNetv4/EEGNetv4_BNCI2015004,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_BNCI2015004
9,PierreGtch/EEGNetv4/EEGNetv4_Cho2017,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_Cho2017
10,PierreGtch/EEGNetv4/EEGNetv4_Lee2019_MI,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_Lee2019_MI
11,PierreGtch/EEGNetv4/EEGNetv4_Ofner2017,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_Ofner2017
12,PierreGtch/EEGNetv4/EEGNetv4_PhysionetMI,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_PhysionetMI
13,PierreGtch/EEGNetv4/EEGNetv4_Schirrmeister2017,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_Schirrmeister2017
14,PierreGtch/EEGNetv4/EEGNetv4_Weibo2014,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_Weibo2014
15,PierreGtch/EEGNetv4/EEGNetv4_Zhou2016,oui,3,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 3 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.75,moyenne,https://huggingface.co/PierreGtch/EEGNetv4,mit,EEGNetv4_Zhou2016
16,PierreGtch/EEGNetv4/toy,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/PierreGtch/EEGNetv4,mit,toy
102,braindecode/Labram-Braindecode,oui,64,fixes,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à adapter,"Le checkpoint attend 64 canaux, contre 32 pour ASC. Une sélection, une projection ou une nouvelle couche spatiale serait nécessaire.",25.0,faible,https://huggingface.co/braindecode/Labram-Braindecode,mit,.
46,braindecode/SignalJEPA,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/braindecode/SignalJEPA,mit,.
107,braindecode/cbramod-pretrained,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/braindecode/cbramod-pretrained,bsd-3-clause,.
33,braindecode/plot_bcic_iv_2a_eegprep_cleaning,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/braindecode/plot_bcic_iv_2a_eegprep_cleaning,,.
110,hanhan05/cbramod-pretrained,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/hanhan05/cbramod-pretrained,bsd-3-clause,.
96,preetham/labra_model2,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/preetham/labra_model2,openrail++,.
97,preetham/labra_model2/checkpoint-100,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/preetham/labra_model2,openrail++,checkpoint-100
98,preetham/labra_model2/checkpoint-200,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/preetham/labra_model2,openrail++,checkpoint-200
99,preetham/labra_model2/checkpoint-300,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/preetham/labra_model2,openrail++,checkpoint-300
100,preetham/labra_model2/checkpoint-400,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/preetham/labra_model2,openrail++,checkpoint-400
101,preetham/labra_model2/checkpoint-500,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/preetham/labra_model2,openrail++,checkpoint-500
111,smoking11/CBraMod,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/smoking11/CBraMod,apache-2.0,.
106,weighting666/CBraMod,oui,à vérifier,inconnu,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,à vérifier,"Les poids existent, mais leur nombre réel de canaux d'entrée n'est pas documenté avec assez de précision.",25.0,faible,https://huggingface.co/weighting666/CBraMod,apache-2.0,.
19,Georgios-Ak/EEGNet_Identification_Model,non,à vérifier,inconnu,à vérifier,160.0,à vérifier,Batch normalization | 1. Bandpass filtering (1–40 Hz) | 2. Resampling to 160 Hz | 4. Channel name normalization,à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/Georgios-Ak/EEGNet_Identification_Model,,.
34,braindecode/EEGConformer,non,22,fixes,à vérifier,à vérifier,à vérifier,"| `n_filters_time: int` | — | Number of temporal filters, defines also embedding size. | | | `filter_time_length: int` | — | Length of the temporal filter. | | | `pool_time_length: int` | — | Length of temporal pooling filter. | | | `pool_time_stride: int` | — | Length of stride between temporal pooling filters. |",à vérifier,non,Aucun fichier de poids réellement disponible n'a été détecté.,10.0,faible,https://huggingface.co/braindecode/EEGConformer,bsd-3-clause,.
